Episode: 242 | Reward: -10.97 | Epsilon: 0.9760 | Reason: collision
Episode: 243 | Reward: -13.27 | Epsilon: 0.9759 | Reason: collision
Episode: 244 | Reward: -11.69 | Epsilon: 0.9758 | Reason: collision
Episode: 245 | Reward: 31.63 | Epsilon: 0.9757 | Reason: goal
Episode: 246 | Reward: -11.96 | Epsilon: 0.9756 | Reason: collision
Episode: 247 | Reward: -13.07 | Epsilon: 0.9755 | Reason: collision
Episode: 248 | Reward: -14.46 | Epsilon: 0.9754 | Reason: collision
Episode: 249 | Reward: -9.76 | Epsilon: 0.9753 | Reason: collision
Episode: 250 | Reward: -15.11 | Epsilon: 0.9752 | Reason: collision
Episode: 251 | Reward: -12.22 | Epsilon: 0.9751 | Reason: collision
Episode: 252 | Reward: -12.21 | Epsilon: 0.9750 | Reason: collision
Episode: 253 | Reward: -10.73 | Epsilon: 0.9749 | Reason: collision
Episode: 254 | Reward: -12.68 | Epsilon: 0.9748 | Reason: collision
Episode: 255 | Reward: -13.70 | Epsilon: 0.9747 | Reason: collision
Episode: 256 | Reward: -13.29 | Epsilon: 0.9746 | Reason: collision
Episode: 257 | Reward: -11.59 | Epsilon: 0.9745 | Reason: collision
Episode: 258 | Reward: -7.78 | Epsilon: 0.9744 | Reason: collision
Episode: 259 | Reward: -10.26 | Epsilon: 0.9743 | Reason: collision
Episode: 260 | Reward: -12.27 | Epsilon: 0.9742 | Reason: collision
Episode: 261 | Reward: -9.95 | Epsilon: 0.9741 | Reason: collision
Episode: 262 | Reward: -9.34 | Epsilon: 0.9740 | Reason: collision
Episode: 263 | Reward: -7.70 | Epsilon: 0.9739 | Reason: collision
Episode: 264 | Reward: -7.44 | Epsilon: 0.9738 | Reason: collision
Episode: 265 | Reward: -13.23 | Epsilon: 0.9737 | Reason: collision
Episode: 266 | Reward: -12.40 | Epsilon: 0.9737 | Reason: collision
Episode: 267 | Reward: -11.07 | Epsilon: 0.9736 | Reason: collision
Episode: 268 | Reward: -16.22 | Epsilon: 0.9735 | Reason: collision
Episode: 269 | Reward: -13.74 | Epsilon: 0.9734 | Reason: collision
Episode: 270 | Reward: -10.11 | Epsilon: 0.9733 | Reason: collision
Episode: 271 | Reward: -14.39 | Epsilon: 0.9732 | Reason: collision
Episode: 272 | Reward: -13.00 | Epsilon: 0.9731 | Reason: collision
Episode: 273 | Reward: -12.58 | Epsilon: 0.9730 | Reason: collision
Episode: 274 | Reward: -10.66 | Epsilon: 0.9729 | Reason: collision
Episode: 275 | Reward: 31.22 | Epsilon: 0.9728 | Reason: goal
Episode: 276 | Reward: -12.22 | Epsilon: 0.9727 | Reason: collision
Episode: 277 | Reward: -10.24 | Epsilon: 0.9726 | Reason: collision
Episode: 278 | Reward: -17.39 | Epsilon: 0.9725 | Reason: collision
Episode: 279 | Reward: -13.24 | Epsilon: 0.9724 | Reason: collision
Episode: 280 | Reward: -10.09 | Epsilon: 0.9723 | Reason: collision
Episode: 281 | Reward: -11.88 | Epsilon: 0.9722 | Reason: collision
Episode: 282 | Reward: -11.35 | Epsilon: 0.9721 | Reason: collision
Episode: 283 | Reward: -11.77 | Epsilon: 0.9720 | Reason: collision
Episode: 284 | Reward: -14.70 | Epsilon: 0.9719 | Reason: collision
Episode: 285 | Reward: -9.29 | Epsilon: 0.9718 | Reason: collision
Episode: 286 | Reward: -10.68 | Epsilon: 0.9717 | Reason: collision
Episode: 287 | Reward: -13.91 | Epsilon: 0.9716 | Reason: collision
